id,label,external,entrypoint
56,Lcom/tencent/StubShell/b;->a(Ljava/lang/String;)Ljava/lang/String; [access_flags=public static] @ 0x1fdcc,False,False
57,Lorg/json/JSONObject;-><init>()V,True,False
58,Lorg/json/JSONObject;->toString()Ljava/lang/String;,True,False
59,Lcom/tencent/StubShell/TxAppEntry;-><clinit>()V [access_flags=static constructor] @ 0x1d408,False,False
60,Landroid/util/Log;->w(Ljava/lang/String; Ljava/lang/Throwable;)I,True,False
61,Ljava/lang/String;->equals(Ljava/lang/Object;)Z,True,False
62,Lcom/tencent/StubShell/TxAppEntry;-><init>()V [access_flags=public constructor] @ 0x1d478,False,False
63,Landroid/app/Application;-><init>()V,True,False
64,Lcom/tencent/StubShell/TxAppEntry;->a(Landroid/content/Intent;)V [access_flags=public static] @ 0x1d4b0,False,False
65,Lcom/tencent/StubShell/TxAppEntry;->reciver(Landroid/content/Intent;)V [access_flags=private static native] @ 0x0,False,False
66,Lcom/tencent/StubShell/TxAppEntry;->a(Ljava/lang/String;)V [access_flags=private] @ 0x1d4c8,False,False
67,Lcom/tencent/StubShell/ZipUtil;->exist(Ljava/lang/String; Ljava/lang/String;)I [access_flags=public static] @ 0x1f804,False,False
68,Ljava/lang/System;->load(Ljava/lang/String;)V,True,False
69,Ljava/lang/Runtime;->exec(Ljava/lang/String;)Ljava/lang/Process;,True,False
70,Ljava/lang/String;->contains(Ljava/lang/CharSequence;)Z,True,False
71,Ljava/lang/String;->toLowerCase(Ljava/util/Locale;)Ljava/lang/String;,True,False
72,Ljava/io/IOException;->printStackTrace()V,True,False
73,Lcom/tencent/StubShell/ZipUtil;->extract(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)I [access_flags=public static] @ 0x1f854,False,False
74,Lcom/tencent/StubShell/TxAppEntry;->d()Ljava/lang/String; [access_flags=private] @ 0x1e2cc,False,False
75,Ljava/lang/Runtime;->getRuntime()Ljava/lang/Runtime;,True,False
76,Lcom/tencent/StubShell/TxAppEntry;->getApplicationInfo()Landroid/content/pm/ApplicationInfo;,True,False
77,Ljava/lang/System;->loadLibrary(Ljava/lang/String;)V,True,False
78,Ljava/lang/String;->length()I,True,False
79,Lcom/tencent/StubShell/TxAppEntry;->b(Landroid/content/Context;)Z [access_flags=private] @ 0x1e04c,False,False
80,Landroid/content/Context;->getPackageManager()Landroid/content/pm/PackageManager;,True,False
81,Landroid/content/pm/PackageManager;->getPackageInfo(Ljava/lang/String; I)Landroid/content/pm/PackageInfo;,True,False
82,Ljava/io/File;->mkdir()Z,True,False
83,Lcom/tencent/StubShell/TxAppEntry;->getBaseContext()Landroid/content/Context;,True,False
84,Landroid/content/pm/PackageManager;->getApplicationInfo(Ljava/lang/String; I)Landroid/content/pm/ApplicationInfo;,True,False
85,Landroid/content/Context;->getApplicationInfo()Landroid/content/pm/ApplicationInfo;,True,False
86,Landroid/content/Context;->getPackageName()Ljava/lang/String;,True,False
